sample,peak_probability,peak_year,expected_sources_at_peak,area_under_probability_curve,probability_2026,probability_2100,probability_2500,probability_3000,probability_5000,probability_10000,probability_20000,fraction_life,fraction_intelligence,fraction_communicative,birth_year_mean,development_duration_mean,radio_window_years,max_effective_transmit_power_w,power_rolloff_decades,beam_coverage,duty_cycle,frequency_coverage,catalog_selection_bias,assumption_correlation
27,0.14881094444242982,20000,0.16099127557255213,2500.6599253196964,0.042738482268138034,0.04592464675822405,0.059475576167134614,0.07730378688175099,0.13190830212471183,0.1487939197347089,0.14881094444242982,0.25555868451443947,0.17734082052642916,0.22877395670076683,-1641.746513047748,4662.416204292989,1443.6322501161003,1.0466790464133573e+18,1.2317924400292108,0.3391184473633157,0.5014286501695471,0.24164765563935836,0.5120668903384403,0.32314650293721114
28,0.21800966241933128,19000,0.2456106943443013,3602.758293624072,0.056000698478568034,0.05987964164368598,0.07653164922061106,0.09910805832186365,0.17998805570600773,0.21795707234851092,0.21800966241933128,0.4515936964898331,0.34463926974585557,0.16444503442937625,-1516.2644293940903,4936.991726409403,849.0726437110121,1.1583022858639294e+16,0.7542249249118517,0.2011677375671436,0.6428978546066642,0.33664777058273915,0.370384695805935,0.14949792902697234
29,0.14262714971788715,20000,0.1537640316006993,2436.979084520253,0.054926020270513964,0.05814100995633498,0.0712697692975377,0.08744906240188333,0.13125554300505338,0.14262166521092212,0.14262714971788715,0.35209298088279245,0.03475977251028397,0.40177968153762833,-1946.8974364202768,4527.616735215547,1423.0417138839937,1.2420076868768464e+17,1.086606712660489,0.28209965335057824,0.5983928777728331,0.5026038413070689,0.38434878225209557,0.34970678438199526
30,0.039673947756949546,19400,0.04047422127042556,643.6396463396087,0.007739684119245527,0.00834334699346706,0.011014037469990967,0.014836784935627567,0.030598492293099855,0.03965705938245967,0.039673947756949546,0.17925406854928513,0.07233691487347581,0.22257482610787102,-812.3184227558496,4421.070245516685,947.9493416164282,1.810355073279686e+18,0.7770435189150757,0.4886803392525242,0.3246319390521813,0.3479167534888862,0.5440739416290812,0.13793225568757178
31,0.052100140434825026,20000,0.05349210168319146,850.6338320010314,0.017499300461440104,0.018214628266749022,0.021169150757013977,0.02499962800677691,0.03937717799969909,0.051811112542570203,0.052100140434825026,0.23827206195729478,0.08448272401840387,0.10572121624747946,-895.6801493025122,4056.386061691136,1013.839689244936,5.111189522101808e+17,1.2911477782966165,0.4406506957110284,0.4693412790283628,0.462993001256374,0.303081186404503,0.40424378847612175
32,0.09530258368929467,19100,0.1001045924713855,1594.1070005056683,0.02848735952613779,0.03032224974173725,0.03807686021993506,0.048299671889579954,0.08213463784322628,0.09529199186831783,0.09530258368929467,0.18319288339834158,0.10242547195297559,0.1455394778811616,-1452.1544291695047,4463.445561397852,1007.2704228546453,1.521812241777175e+18,1.5011438283573184,0.4605566584352982,0.6248984060078502,0.4915446855716369,0.4283163785895145,0.34900668671200363
33,0.007761646569972136,20000,0.007791621350048017,132.67249429104652,0.003588057075597284,0.00373180705442111,0.00430409482852856,0.004990912994008223,0.006951395469459887,0.007756707452780454,0.007761646569972136,0.26046628806435895,0.03836528130290325,0.20287716434819839,-2349.786926192749,4593.008775666937,706.395207917565,9.990721765712785e+17,0.9678041513148308,0.19856329966277472,0.36973498253944015,0.27847234741381305,0.48577238881674006,0.22920593358580207
34,0.024827594438605827,18900,0.02513783720407547,407.51250670080685,0.005004289258664918,0.0054285320176474805,0.007314190839044277,0.010009810605635439,0.020370451638346387,0.024824574312463987,0.024827594438605827,0.3447131681009438,0.0844317116238589,0.35359885119207024,-1022.9132441000236,4438.2789087873525,266.46708332041493,7.791051787681414e+18,1.2479927410895444,0.29104896828356625,0.6456557950962994,0.18386170403924088,0.4236387003236811,0.265065171056247
35,0.11815765463537531,19900,0.12566295693087287,1992.60216128029,0.04129559392091431,0.04361580411375088,0.0532213287329274,0.06547158366755856,0.10368890733327418,0.11814129508484983,0.11815765463537531,0.1743223988405966,0.20931035823912214,0.3411344532622151,-1617.5207614640806,4412.694608201541,316.544047689149,5.902012333543348e+18,1.526053718032834,0.22777389089729444,0.7584984457063403,0.7085640498722262,0.42506041226086066,0.16855071128754903
36,0.012111165503635779,20000,0.012184360696937523,201.28478562920657,0.005024414707983538,0.005198279083129309,0.005900089704171219,0.006773817674937788,0.009742794367024077,0.012026744155001268,0.012111165503635779,0.14285752412996813,0.10836920959148011,0.11194212027030832,-1515.394897915525,4160.964657671295,1538.6520006548728,8.705005088399565e+16,1.1644956652524057,0.23394499196443266,0.4638018269186683,0.1651603326091468,0.3702251038359362,0.4732652146754747
37,0.007282396839102923,20000,0.007308775820238066,117.21059531630516,0.0013394869928556874,0.0014433923201894183,0.001904362856361419,0.002568953510708738,0.0054107778940643,0.007275124252620557,0.007282396839102923,0.12005725918382931,0.06532634078016007,0.0756130927673563,-1212.7931136411132,4936.664938423328,529.6801746576782,4.171853321287481e+17,0.8943272734263387,0.3886553450636935,0.4759740577426579,0.47272773988057526,0.45042254822926486,0.20112335705388035
38,0.06553606098475317,20000,0.06775927430478026,1058.2389339395897,0.01667686549559011,0.017675308368351406,0.02190346582989966,0.027557875736553106,0.048796745011431275,0.06494335543374974,0.06553606098475317,0.3183529800038476,0.25880482531231225,0.09822148084580615,-718.1585217446484,4327.509004683896,707.8514541151419,4.1038897088335073e+18,0.8211864001304271,0.36526408241192504,0.428266852722941,0.28117177838807034,0.20102403923270235,0.26069630277238265
39,0.06069552161933567,16900,0.06259599140657564,1041.578814593566,0.02267408898551193,0.02418311981430421,0.030387098822248215,0.03803490438778556,0.057241109021541114,0.060695369092447216,0.06069552161933567,0.3483250316350869,0.10623279421303387,0.16580348013519275,-1859.3326408236749,4375.088866246623,581.2443896702422,2.12818254222198e+17,1.17954765021607,0.26168767453459435,0.4993850445879204,0.5195469188014279,0.42372599821128715,0.30176033207768677
40,0.018670555592471216,20000,0.018845274645352666,308.3568356286898,0.004122815051034956,0.004479973905104462,0.006043929130126968,0.008206698535883516,0.015672976978606368,0.01865910034334428,0.018670555592471216,0.08164346255174586,0.06035239786499049,0.2352788540591362,-1211.4768931839003,4535.8151071090515,589.1827930214369,2.1769209631418107e+18,1.3296597697679275,0.43831861877307515,0.5099555903503835,0.4708336848775604,0.30241807481331795,0.23283834767248993
41,0.05733212633584017,20000,0.05902383273926998,962.8987101198139,0.023785911100084656,0.02470524195084045,0.028422855628666643,0.03304406472769594,0.04813981525374911,0.05721999686671464,0.05733212633584017,0.4759898163364565,0.06877357674088486,0.1805363984683704,-1721.1765173637798,4307.697207525875,388.2451601125121,1.4271006257601116e+18,1.2913503046614307,0.3880817476498788,0.6420781632641334,0.39471307904665803,0.4596333877968536,0.16811977691671495
42,0.10292391059037609,20000,0.10855561077283661,1724.8623773901663,0.03070520413406086,0.032778982513718136,0.04153590023610343,0.0530108879965131,0.0895798629220046,0.10290251121744831,0.10292391059037609,0.477196563815359,0.12604607939856557,0.2721175769807208,-1415.4546789105964,4426.341398624837,643.1777323383897,9.552903042864226e+16,1.307892477988308,0.26902021637805495,0.35529713323258894,0.42904522762525155,0.19363798275754465,0.3286275970990682
43,0.08647211717476022,20000,0.09040048849269702,1497.161256007836,0.0438400791925343,0.04559260602098125,0.052471055248245246,0.060470501771073715,0.08076741711074165,0.08646503264854244,0.08647211717476022,0.3972343743617219,0.07690963906574531,0.10606025552467278,-1925.4159691862556,3954.6599104868505,936.7439471203719,4.25792711309594e+17,1.308178047818179,0.3950376921424026,0.6460642284988306,0.45250549413364655,0.3132794544610956,0.20549328774960623
44,0.027378815699485304,19800,0.027756746224413764,475.58821792697955,0.013560982686538159,0.014190138614599723,0.016655767543360955,0.019484927683809605,0.026026382416178717,0.027377912499122026,0.027378815699485304,0.27827071239985623,0.23194042793666117,0.16431048110756757,-1973.6369967305986,4028.3247135997904,307.42895004495557,3.2960139367456124e+16,0.9452049056837546,0.4239909538155029,0.32711893629706046,0.23812731742911789,0.4237445183260245,0.21648711141340393
45,0.0705454837777455,19200,0.07313065090081801,1201.4210213390886,0.027858386982446026,0.029307542019347155,0.035214561741109485,0.04253815016985296,0.063712621691429,0.07054051881452439,0.0705454837777455,0.32019838027192105,0.13588473352271524,0.19898207831285514,-2083.992371871823,4612.5583830337455,294.8210837687022,4.881623349679183e+17,1.1284398874613006,0.3519998962847818,0.6380151794710679,0.48608363718572495,0.3569241465871808,0.3266361529571545
46,0.34601046458957574,20000,0.4237634982020207,5672.599488125415,0.18378858933475561,0.18674145085634042,0.19845348323186185,0.21277429161214356,0.26394494189250606,0.33235123550885715,0.34601046458957574,0.6499927420718338,0.2088092342159878,0.29283788116484144,-2005.0262159356787,4230.302148298818,442.31986908846716,2.0662366309901463e+18,0.8749069952653084,0.3841746199054347,0.5746376116217913,0.4071315079923106,0.2541557571924528,0.18281651281331734
47,0.03310895014809789,17600,0.033663790440756944,557.1760655522143,0.009152294448923959,0.009868178505228031,0.012944980572277998,0.01705848324431869,0.02975870597308694,0.033108431464667354,0.03310895014809789,0.19029545919475097,0.08134869632039993,0.1447696705437994,-1169.1508180899973,4110.437954585444,1364.9351787544415,5.696481166160012e+19,1.4134232656541343,0.22106453204594895,0.38725691336384693,0.4833022525463194,0.2586169794320538,0.5516664130845821
48,0.04263648511246909,20000,0.043562617043912163,718.3067050757651,0.01307176827603218,0.013979316613213832,0.017807216615132737,0.022791165714810768,0.037952879574638665,0.04263225375484525,0.04263648511246909,0.13109347745643246,0.13038122457896495,0.4277108607853757,-1549.140183152103,4438.560072988212,1052.1973954576442,8.909086600756154e+16,1.2632964414313888,0.2710333311442874,0.23133653936486154,0.3579371465097787,0.23266693576545885,0.31521664266106236
49,0.22447915613619385,20000,0.2538975338705317,3736.303615594282,0.07850612863828887,0.08223677331251467,0.09761724100214986,0.11731357153876398,0.18467057345453974,0.22421625637000164,0.22447915613619385,0.6122356658819658,0.27781134933263774,0.1398903572448422,-1710.327466600472,4738.789262716395,600.9565266177711,8.306371690009427e+17,1.1071766215639842,0.3651486103078303,0.5790406231896649,0.3180877454086609,0.36770230765622924,0.14929888314194167
50,0.17735506054567374,20000,0.19504010008007114,2992.684725033541,0.06033766053288203,0.06406502731130459,0.07947351740550745,0.09893911775585529,0.15662869842629512,0.17728501209354275,0.17735506054567374,0.21061486825377038,0.2807372779079603,0.30364449354150824,-1541.6444628233967,4429.933209117188,477.2519827957779,9.327660562723576e+16,1.1625687284660597,0.5840644886132754,0.24893295423725922,0.6113419477052171,0.19407867638089207,0.2408260209433478
