year_bin_start,probability_density
-1510,6.666666666666667e-05
-1500,0.00015555555555555556
-1490,0.00012222222222222221
-1480,0.00022222222222222223
-1470,0.0002111111111111111
-1460,0.00015555555555555556
-1450,0.0001
-1440,0.00018888888888888888
-1430,0.00014444444444444444
-1420,0.00011111111111111112
-1410,0.00014444444444444444
-1400,0.00017777777777777779
-1390,0.00016666666666666666
-1380,0.00016666666666666666
-1370,0.0002111111111111111
-1360,0.00014444444444444444
-1350,0.00016666666666666666
-1340,0.0001
-1330,0.00017777777777777779
-1320,0.00011111111111111112
-1310,0.00016666666666666666
-1300,0.00014444444444444444
-1290,0.00024444444444444443
-1280,0.00015555555555555556
-1270,0.00014444444444444444
-1260,0.00015555555555555556
-1250,0.00016666666666666666
-1240,0.00017777777777777779
-1230,0.00012222222222222221
-1220,0.00018888888888888888
-1210,0.00014444444444444444
-1200,0.00016666666666666666
-1190,0.00018888888888888888
-1180,0.00023333333333333333
-1170,0.00022222222222222223
-1160,0.0002555555555555556
-1150,0.00015555555555555556
-1140,0.00017777777777777779
-1130,0.0002111111111111111
-1120,0.00012222222222222221
-1110,0.00013333333333333334
-1100,0.00015555555555555556
-1090,0.00013333333333333334
-1080,0.00016666666666666666
-1070,0.00015555555555555556
-1060,0.00024444444444444443
-1050,0.0002666666666666667
-1040,0.0002666666666666667
-1030,0.00014444444444444444
-1020,0.0002111111111111111
-1010,0.00022222222222222223
-1000,0.00013333333333333334
-990,0.00018888888888888888
-980,0.00014444444444444444
-970,0.0003
-960,0.0002555555555555556
-950,0.00014444444444444444
-940,0.0002777777777777778
-930,0.00023333333333333333
-920,0.0002555555555555556
-910,0.00023333333333333333
-900,0.0002888888888888889
-890,0.0003
-880,0.0002555555555555556
-870,0.00018888888888888888
-860,0.0002666666666666667
-850,0.0002555555555555556
-840,0.0002111111111111111
-830,0.0002
-820,0.00018888888888888888
-810,0.0002
-800,0.0002666666666666667
-790,0.0002777777777777778
-780,0.0002666666666666667
-770,0.0003
-760,0.0002
-750,0.0003333333333333333
-740,0.0002888888888888889
-730,0.0002111111111111111
-720,0.0002
-710,0.0002111111111111111
-700,0.0002111111111111111
-690,0.0003
-680,0.0002888888888888889
-670,0.0003
-660,0.0002888888888888889
-650,0.0003
-640,0.0002666666666666667
-630,0.0002888888888888889
-620,0.0003111111111111111
-610,0.0002666666666666667
-600,0.00023333333333333333
-590,0.0003222222222222222
-580,0.0003111111111111111
-570,0.0003333333333333333
-560,0.0004111111111111111
-550,0.0004222222222222222
-540,0.0003
-530,0.0003333333333333333
-520,0.0003222222222222222
-510,0.00035555555555555557
-500,0.00024444444444444443
-490,0.00036666666666666667
-480,0.00036666666666666667
-470,0.0003
-460,0.0003222222222222222
-450,0.0003222222222222222
-440,0.00036666666666666667
-430,0.00045555555555555556
-420,0.0002777777777777778
-410,0.0003222222222222222
-400,0.00037777777777777777
-390,0.0004
-380,0.0003222222222222222
-370,0.0003
-360,0.0002666666666666667
-350,0.00023333333333333333
-340,0.0005111111111111112
-330,0.00035555555555555557
-320,0.00038888888888888887
-310,0.00022222222222222223
-300,0.0004111111111111111
-290,0.0002666666666666667
-280,0.00037777777777777777
-270,0.0003444444444444444
-260,0.0003444444444444444
-250,0.0004888888888888889
-240,0.0004111111111111111
-230,0.00038888888888888887
-220,0.00044444444444444447
-210,0.0003222222222222222
-200,0.0005
-190,0.0004111111111111111
-180,0.0003444444444444444
-170,0.0002555555555555556
-160,0.00035555555555555557
-150,0.00036666666666666667
-140,0.0004333333333333333
-130,0.00035555555555555557
-120,0.00038888888888888887
-110,0.0004333333333333333
-100,0.0005111111111111112
-90,0.0003444444444444444
-80,0.0004222222222222222
-70,0.00047777777777777776
-60,0.0005333333333333334
-50,0.00037777777777777777
-40,0.0003
-30,0.0004222222222222222
-20,0.0005111111111111112
-10,0.0002888888888888889
0,0.0003111111111111111
10,0.0004888888888888889
20,0.0005666666666666667
30,0.0005
40,0.00036666666666666667
50,0.0005666666666666667
60,0.0005222222222222222
70,0.00038888888888888887
80,0.0005222222222222222
90,0.0005111111111111112
100,0.0004222222222222222
110,0.00047777777777777776
120,0.0004888888888888889
130,0.0004888888888888889
140,0.00047777777777777776
150,0.0005555555555555556
160,0.00045555555555555556
170,0.0005777777777777778
180,0.0004222222222222222
190,0.0005666666666666667
200,0.00046666666666666666
210,0.0005555555555555556
220,0.0004333333333333333
230,0.00038888888888888887
240,0.0004888888888888889
250,0.00047777777777777776
260,0.0005888888888888889
270,0.0007333333333333333
280,0.0006666666666666666
290,0.0005333333333333334
300,0.00038888888888888887
310,0.0005
320,0.0006222222222222223
330,0.0004888888888888889
340,0.0005333333333333334
350,0.0006
360,0.0005222222222222222
370,0.00037777777777777777
380,0.0006888888888888888
390,0.0005111111111111112
400,0.0005888888888888889
410,0.0005111111111111112
420,0.0005888888888888889
430,0.0006222222222222223
440,0.0005888888888888889
450,0.0006
460,0.0004222222222222222
470,0.0007
480,0.00046666666666666666
490,0.0005888888888888889
500,0.00045555555555555556
510,0.00044444444444444447
520,0.0006444444444444444
530,0.0006111111111111111
540,0.0006111111111111111
550,0.0005444444444444444
560,0.0007333333333333333
570,0.0005444444444444444
580,0.0006888888888888888
590,0.0005777777777777778
600,0.0005888888888888889
610,0.0005888888888888889
620,0.0006222222222222223
630,0.0006444444444444444
640,0.0005444444444444444
650,0.0008444444444444444
660,0.0006666666666666666
670,0.0005333333333333334
680,0.0006555555555555556
690,0.0005666666666666667
700,0.0005777777777777778
710,0.0006222222222222223
720,0.0005666666666666667
730,0.0006555555555555556
740,0.0005444444444444444
750,0.0006777777777777778
760,0.0008555555555555556
770,0.0006
780,0.0007666666666666667
790,0.0006222222222222223
800,0.0006777777777777778
810,0.0006777777777777778
820,0.0006666666666666666
830,0.0008
840,0.0005555555555555556
850,0.0006888888888888888
860,0.0006111111111111111
870,0.0007333333333333333
880,0.0006111111111111111
890,0.0006
900,0.0007777777777777777
910,0.0006777777777777778
920,0.0005888888888888889
930,0.0009555555555555555
