year,probability_at_least_one_signal,expected_detectable_sources,window_limited_probability,window_limited_expected_sources,synchronization_loss_fraction,probability_p05,probability_p95
6000,0.04407643776296055,0.04507604930969333,0.0026878732722371845,0.002691487554563511,0.939017910506009,0.04406134973700686,0.04407643776296055
6100,0.044382226633662314,0.04539597076113259,0.0025206224838334457,0.0025238006137498787,0.9432064888352932,0.044367035264903265,0.044382226633662314
6200,0.044666290706134815,0.045693254983975744,0.0023584045827133027,0.002361186509252816,0.94719945297832,0.04465100333836064,0.044666290706134815
6300,0.044929585819033835,0.04596888252442574,0.0022016304612929583,0.00220405457213727,0.9509982026061707,0.044914209470816056,0.044929585819033835
6400,0.04517308934108555,0.04622385901660237,0.0020506443389981532,0.0020527471516414686,0.9546047354982856,0.04515763069903679,0.04517308934108555
6500,0.04539779179145109,0.04645920622437361,0.001905725404567682,0.0019075413323425324,0.9580216277187616,0.04538225720626729,0.04539779179145109
6600,0.045604689025720346,0.04667595366717872,0.001767090093102719,0.0017686512809639318,0.9612520087110756,0.04558908451076151,0.04560468902572042
6700,0.0457947750282226,0.04687513087751785,0.0016348949165942983,0.0016362311403727168,0.9642995316477319,0.04577910626049744,0.0457947750282226
6800,0.045969035339768594,0.04705776032481087,0.0015092397639928645,0.0015103783861009144,0.9671683394520312,0.04595330766306134,0.045969035339768594
6900,0.046128441138692966,0.047224851027953665,0.001390171586177047,0.0013911375602835686,0.9698630269772772,0.046112659568660695,0.046128441138692966
7000,0.04627394398282936,0.04737739286732019,0.0012776883820421192,0.0012785042990895853,0.9723885998886064,0.04625811321377706,0.04627394398282936
7100,0.046406471210237776,0.04751635159628941,0.0011717434043101438,0.0011724295723596235,0.9747504308396617,0.04639059562345297,0.046406471210237776
7200,0.046526921988178316,0.04764266454274604,0.0010722495073418603,0.0010728240580689676,0.9769542135709235,0.04651100566156072,0.046526921988178316
7300,0.04663616399202419,0.0477572369824744,0.0009790835640677287,0.000979562579201382,0.9790059155758357,0.046620210710753354,0.04663616399202419
7400,0.04673503068910689,0.04786093915898288,0.0008920908848322195,0.0008924885364479706,0.980911729987584,0.04671904395725458,0.04673503068910689
7500,0.04682431919722485,0.04795460391808468,0.0008110895773405513,0.0008114182766268358,0.9826780273318182,0.0468083022500386,0.04682431919722485
7600,0.04690478868273629,0.04803902492049631,0.0007358747938580601,0.0007361453436563966,0.9843113077678377,0.046888744499449075,0.04690478868273629
