year,baseline_probability,probability_p05,probability_p25,probability_p50,probability_p75,probability_p95
9600,0.05213527372405047,0.00630733534677318,0.027838562392671407,0.05441032054007999,0.08499667546858525,0.20427410425971132
9700,0.052141026388083045,0.0063090712923691734,0.027846211120355957,0.05444046384367135,0.08505308540843484,0.20432618954898407
9800,0.052145988831099443,0.006310603559612271,0.027853308329622295,0.05446791272722157,0.0851047111517314,0.20437198699282966
9900,0.05215026208905038,0.006311954452682178,0.027859889089568435,0.05449287734713876,0.08515190242950499,0.20441219502800037
10000,0.05215393548189318,0.00631314408640733,0.027865986540306337,0.05451555470464242,0.0851949890689255,0.20444744322914327
10100,0.05215708778581407,0.006314190562863859,0.027871631993789753,0.054536129140073,0.08523428157152663,0.20447829787084348
10200,0.052159788316384015,0.006315110139384128,0.027876855026619907,0.054554772843179666,0.08527007173207096,0.20450526721258283
10300,0.05216209792507975,0.006315917387525178,0.027881683565969623,0.05457164637463019,0.08530263329061327,0.2045288064947084
10400,0.05216406991234068,0.006316625342694648,0.02788614396961292,0.05458689919444509,0.08533222261076337,0.20454932263858305
10500,0.05216575086085151,0.006317245644323444,0.027890261100842084,0.05460067019339293,0.0853590793776402,0.2045671786485271
10600,0.052167181393093065,0.0063177886665771125,0.02789405839903014,0.054613088223782025,0.08538342730948656,0.2045826977169522
10700,0.052168396857561694,0.006318263639749277,0.02789755794638854,0.05462427262645314,0.08540547487738642,0.20459616703730155
10800,0.05216942794813406,0.0063186787625250495,0.027900780531441294,0.05463433375111254,0.08542541602802481,0.20460784133208876
10900,0.05217030126121325,0.006319041305421375,0.02790374570959822,0.0546433734675138,0.08544343090491727,0.2046179461054084
11000,0.05217103979520621,0.006319357705758066,0.027906471861189608,0.05465148566531425,0.08545968656395309,0.20462668063107836
11100,0.0521716633968905,0.0063196336545327195,0.027908976247187578,0.05465875674074516,0.08547433767964235,0.20463422068873655
11200,0.05217218915905819,0.0063198741756619,0.027911275062871527,0.05466526606851452,0.08548752723878814,0.2046407210612244
11300,0.05217263177367204,0.0063200836980034925,0.02791338348956926,0.05467108645768237,0.08549938721879996,0.20464631780708326
11400,0.05217300384460577,0.006320266120641943,0.027915315744628744,0.054676284590431834,0.08551003924825906,0.20465113032237242
11500,0.05217331616376342,0.0063204248718930715,0.02791708512970159,0.05468092144297737,0.08551959524764804,0.20465526320601124
11600,0.05217357795422117,0.00632056296248999,0.027918704077418866,0.05468505268799645,0.08552815804864253,0.20465880794279778
11700,0.052173797083709395,0.006320683033389941,0.02792018419651121,0.054688729078232134,0.08553582199053683,0.2046618444179034
11800,0.05217398025156894,0.006320787398658151,0.02792153631540556,0.05469199681102771,0.08554267349282582,0.20466444227625125
11900,0.052174133152056545,0.006320878083820836,0.02792277052433839,0.05469489787378362,0.08554879160313206,0.20466666213965812
12000,0.052174260616608015,0.00632095686011327,0.027923896215982125,0.054697470370407675,0.08555424852000199,0.2046685566940147
12100,0.05217436673748577,0.006321025274974301,0.02792492212461606,0.054699748829001915,0.08555911009026385,0.20467017165813578
12200,0.052174454974963314,0.006321084679158645,0.027925856363837376,0.054701764491097926,0.0855634362809074,0.2046715466452098
12300,0.052174528250033214,0.00632113625077973,0.027926706462830714,0.05470354558288437,0.08556728162557573,0.20467271592707836
12400,0.05217458902440375,0.006321181016606897,0.02792747940118573,0.05470511756891755,0.08557069564597011,0.20467370911086086
12500,0.052174639369364284,0.006321219870886675,0.02792818164230143,0.05470650338888522,0.08557372324856141,0.2046745517367378
12600,0.052174681024941494,0.006321253591942784,0.027928819165344926,0.054707723678050824,0.08557640509718187,0.20467526580500262
12700,0.052174715450603704,0.0063212828568111785,0.027929397495812996,0.054708796972034124,0.08557877796211719,0.2046758702398397
12800,0.05217474386863152,0.006321308254102415,0.027929921734699242,0.0547097398966192,0.0855808750464471,0.20467638129663424
12900,0.052174767301124025,0.006321330295306111,0.027930396586280465,0.05471056734330387,0.08558272629043565,0.20467681291901502
13000,0.05217478660153785,0.006321349424698298,0.027930826384546414,0.05471129263133573,0.08558435865482214,0.20467717705124483
13100,0.052174802481480986,0.006321366028031139,0.027931215118301295,0.05471192765692551,0.08558579638392116,0.20467748391106766
13200,0.05217481553345471,0.006321380440124936,0.027931566454964002,0.05471248303041215,0.08558706124946253,0.20467774222757246
13300,0.0521748262501015,0.006321392951510807,0.027931883763094162,0.05471296820206972,0.08558817277611144,0.20467795944821154
13400,0.05217483504049303,0.006321403814224941,0.027932170133674633,0.05471339157728777,0.08558914844963675,0.20467814191866418
13500,0.0521748422438435,0.006321413246867398,0.027932428400196163,0.054713760621798446,0.08559000390868127,0.20467829503882512
13600,0.05217484814108664,0.006321421439001046,0.027932661157581695,0.05471408195764843,0.0855907531210793,0.20467842339789682
13700,0.05217485296458946,0.006321428554991382,0.02793287077996634,0.05471436145054226,0.08559140854567168,0.20467853089116383
13800,0.05217485690630752,0.006321434737346432,0.027933059437404067,0.054714604289194335,0.0855919812805083,0.20467862082077953
13900,0.05217486012463224,0.006321440109611509,0.027933229111538144,0.05471481505729564,0.08559248119837115,0.20467869598262584
14000,0.05217486275008976,0.006321444778889452,0.02793338161025341,0.05471499779864636,0.08559291707043523,0.20467875874104105
14100,0.05217486489013767,0.006321448838036742,0.027933518581376188,0.054715156076010796,0.08559329667893506,0.20467881109301758
14200,0.052174866633129424,0.00632145236755513,0.027933641525470843,0.054715293024198364,0.08559362691961933,0.2046788547232662
14300,0.052174868051634626,0.006321455437239443,0.02793375180775462,0.05471541139785724,0.08559391389475868,0.20467889105138234
14400,0.052174869205201535,0.006321458107613959,0.027933850669183802,0.054715513614431444,0.085594162997429,0.20467892127217596
14500,0.05217487014263489,0.00632146043116329,0.02793393923676729,0.05471560179269813,0.08559437898776165,0.20467894639011902
14600,0.05217487090389883,0.006321462453406363,0.027934018533125188,0.054715677787290695,0.08559456606181595,0.20467896724871262
14700,0.05217487152168321,0.006321464213831701,0.02793408948535267,0.05471574321956951,0.08559472791366579,0.20467898455549866
14800,0.05217487202270632,0.006321465746697674,0.027934152933223044,0.05471579950517902,0.08559486779129843,0.20467899890332397
14900,0.05217487242878349,0.006321467081732918,0.027934209636769736,0.054715847878605006,0.08559498854684491,0.2046790107884011
15000,0.052174872757710156,0.006321468244739854,0.027934260283275947,0.05471588941503164,0.08559509268165055,0.20467902062562005
15100,0.05217487302399193,0.006321469258117374,0.02793430549373041,0.054715925049748704,0.08559518238664551,0.20467902876151345
15200,0.05217487323943959,0.006321470141314328,0.027934345828768803,0.054715955595381616,0.08559525957845324,0.2046790354852268
15300,0.05217487341366567,0.006321470911224342,0.027934381794121305,0.054715981757118226,0.08559532593163363,0.20467904103777707
15400,0.052174873554488355,0.006321471582519856,0.027934413845640382,0.05471600414620531,0.0855953829074334,0.20467904561986947
15500,0.052174873668256794,0.006321472167952674,0.027934442393889064,0.054716023291840055,0.08559543177937182,0.2046790493984785
15600,0.05217487376012597,0.006321472678606288,0.02793446780836406,0.05471603965165822,0.08559547365598744,0.204679052512384
15700,0.05217487383427977,0.006321473124116267,0.02793449042134563,0.0547160536209636,0.0855955095010208,0.20467905507682904
15800,0.05217487389411035,0.006321473512859322,0.02793451053142887,0.054716065540835856,0.08559554015130633,0.2046790571874217
15900,0.05217487394236553,0.006321473852125287,0.027934528406731662,0.054716075705252,0.08559556633259488,0.20467905892341298
16000,0.052174873981269076,0.006321474148256262,0.02793454428784184,0.05471608436731079,0.08559558867353173,0.20467906035043953
16100,0.05217487401262322,0.006321474406769712,0.02793455839048567,0.05471609174469361,0.08559560771799957,0.20467906152281534
16200,0.05217487403788734,0.006321474632471652,0.027934570907958922,0.05471609802442612,0.08559562393597728,0.20467906248544687
16300,0.052174874058234844,0.006321474829545277,0.027934582013345893,0.05471610336703364,0.0855956377330945,0.20467906327544022
16400,0.05217487407462085,0.006321475001638155,0.02793459186152586,0.05471610791015624,0.08559564945903284,0.20467906392342194
16500,0.05217487408781085,0.006321475151923356,0.02793460059099001,0.05471611177170804,0.08559565941488032,0.20467906445466083
16600,0.05217487409842736,0.00632147528316997,0.027934608325505345,0.05471611505260032,0.08559566785958245,0.2046790648899839
16700,0.05217487410696908,0.006321475397791626,0.0279346151756025,0.05471611783912117,0.08559567501558296,0.20467906524654927
16800,0.05217487411384181,0.0063214754978909715,0.027934621239931956,0.054716120204989005,0.08559568107374096,0.20467906553847987
16900,0.05217487411936961,0.0063214755853062635,0.02793462660648291,0.05471612221313199,0.08559568619763394,0.20467906577739559
17000,0.05217487412381694,0.006321475661637566,0.02793463135369656,0.05471612391722214,0.08559569052729332,0.20467906597284755
17100,0.05217487412739119,0.006321475728283732,0.027934635551451314,0.054716125363001966,0.08559569418245727,0.20467906613268375
17200,0.05217487413026611,0.006321475786465913,0.027934639261970123,0.05471612658942926,0.08559569726539626,0.20467906626334964
17300,0.05217487413257593,0.006321475837249302,0.02793464254061978,0.054716127629660494,0.08559569986336585,0.20467906637013292
17400,0.052174874134434335,0.0063214758815670746,0.02793464543664681,0.05471612851189256,0.0855957020507265,0.20467906645737327
17500,0.05217487413592703,0.006321475920231185,0.027934647993826167,0.05471612926009334,0.08559570389077881,0.20467906652862555
17600,0.05217487413712618,0.00632147595395462,0.027934650251048132,0.054716129894627374,0.08559570543735165,0.20467906658680468
17700,0.05217487413809141,0.0063214759833559175,0.027934652242850216,0.05471613043278045,0.08559570673617034,0.20467906663429897
17800,0.05217487413886679,0.00632147600898193,0.027934653999882708,0.05471613088922467,0.08559570782603329,0.2046790666730589
17900,0.05217487413949029,0.006321476031307078,0.027934655549339077,0.05471613127640701,0.08559570873982678,0.2046790667046863
